age,workclass,final_weight,education,Learning years,marital-status,occupation,relationship,sex,capital-gain,capital-loss,Workrate,native-country,label,Id
28,Local-gov,304960,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Female,0,1980,40,United-States,1,69
40,Private,183404,Some-college,10,Separated,Other-service,Unmarried,Female,0,0,8,United-States,1,70
43,Private,220589,HS-grad,9,Divorced,Exec-managerial,Unmarried,Female,0,0,40,United-States,1,71
31,Private,124827,HS-grad,9,Never-married,Other-service,Not-in-family,Male,0,0,40,United-States,1,72
53,Private,169182,10th,6,Married-spouse-absent,Machine-op-inspct,Not-in-family,Female,0,0,40,Columbia,1,73
43,Self-emp-inc,117158,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,15024,0,60,United-States,0,74
46,Private,503923,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,4386,0,40,United-States,0,75
37,Local-gov,48976,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Female,4865,0,45,United-States,1,76
63,,170529,Bachelors,13,Married-civ-spouse,,Wife,Female,0,0,45,United-States,1,77
42,Private,165916,Bachelors,13,Divorced,Adm-clerical,Unmarried,Female,0,0,45,United-States,1,78
19,Private,205829,HS-grad,9,Never-married,Sales,Own-child,Female,0,0,35,United-States,1,79
45,Private,246891,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,1902,40,United-States,0,80
45,Private,274689,10th,6,Married-civ-spouse,Craft-repair,Husband,Male,0,0,60,United-States,1,81
41,Private,177905,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,United-States,0,82
54,,172991,HS-grad,9,Married-civ-spouse,,Husband,Male,0,0,40,United-States,1,83
35,Private,111128,10th,6,Never-married,Adm-clerical,Own-child,Male,0,0,40,United-States,1,84
18,,79990,11th,7,Never-married,,Own-child,Male,0,0,35,United-States,1,85
36,Private,129263,HS-grad,9,Widowed,Other-service,Not-in-family,Female,0,0,40,United-States,1,86
35,Private,148903,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,16,United-States,0,87
36,Self-emp-not-inc,164526,Masters,14,Never-married,Sales,Not-in-family,Male,10520,0,45,United-States,0,88
25,Private,180778,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,0,75,United-States,1,89
29,Local-gov,383745,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,1485,40,United-States,0,90
25,Private,321205,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Male,4101,0,35,United-States,1,91
22,Private,134746,10th,6,Married-civ-spouse,Sales,Wife,Female,0,0,40,United-States,1,92
40,Private,201495,11th,7,Never-married,Transport-moving,Own-child,Male,0,0,35,United-States,1,93
19,Private,272063,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,35,United-States,1,94
23,Private,137214,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,37,United-States,1,95
47,Private,205730,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,56,United-States,0,96
19,Private,256979,HS-grad,9,Never-married,Craft-repair,Other-relative,Male,0,0,35,United-States,1,97
21,Private,50411,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Male,0,0,40,United-States,1,98
23,Private,96635,Some-college,10,Never-married,Machine-op-inspct,Own-child,Male,0,0,30,United-States,1,99
42,Local-gov,121012,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,United-States,0,100
44,Private,190532,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,0,0,55,United-States,1,101
20,Private,390817,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,25,Mexico,1,102
42,Self-emp-not-inc,140474,Assoc-acdm,12,Divorced,Craft-repair,Own-child,Male,0,0,35,United-States,1,103
22,Self-emp-inc,269583,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Male,2580,0,40,United-States,1,104
33,Private,392812,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,50,United-States,0,105
35,Self-emp-not-inc,108198,HS-grad,9,Divorced,Craft-repair,Own-child,Male,0,0,15,United-States,1,106
39,Private,183898,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Male,7688,0,60,Germany,0,107
23,Private,209770,HS-grad,9,Never-married,Adm-clerical,Own-child,Female,0,0,40,United-States,1,108
65,Private,174056,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,United-States,1,109
38,Local-gov,107513,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,United-States,1,110
60,Private,227266,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,33,United-States,1,111
51,Private,146574,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,United-States,0,112
26,Private,248990,11th,7,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,United-States,0,113
47,Federal-gov,55377,Bachelors,13,Never-married,Adm-clerical,Unmarried,Male,0,0,40,United-States,0,114
53,Private,149217,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,Puerto-Rico,1,115
25,Private,185952,Masters,14,Never-married,Prof-specialty,Not-in-family,Male,0,0,30,United-States,1,116
19,Private,344414,Some-college,10,Never-married,Transport-moving,Own-child,Male,0,0,40,United-States,1,117
57,Private,145189,Some-college,10,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,United-States,1,118
33,Private,113326,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,United-States,1,119
34,Private,228873,Bachelors,13,Never-married,Exec-managerial,Own-child,Male,0,0,40,United-States,1,120
40,Federal-gov,298635,Masters,14,Married-civ-spouse,Tech-support,Husband,Male,0,1902,40,Philippines,0,121
50,Private,343847,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,38,United-States,0,122
43,Private,298161,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,40,Nicaragua,1,123
19,Private,560804,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,30,United-States,1,124
24,Private,229826,HS-grad,9,Never-married,Sales,Not-in-family,Male,0,0,30,United-States,1,125
53,Private,88725,HS-grad,9,Never-married,Craft-repair,Not-in-family,Female,0,0,40,,1,126
40,Private,202565,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,Male,0,0,52,United-States,1,127
52,Private,156953,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,0,128
31,Private,231263,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Male,4650,0,45,United-States,1,129
35,Private,139364,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,1902,40,United-States,0,130
20,Private,221661,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,40,Mexico,1,131
38,Private,278557,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,50,United-States,0,132
59,Private,368005,11th,7,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,1,133
21,Private,145119,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,20,United-States,1,134
45,Private,30289,12th,8,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,1,135
24,Private,200819,12th,8,Never-married,Sales,Not-in-family,Male,0,0,40,United-States,1,136
32,Private,169589,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,0,137
39,Local-gov,149833,Bachelors,13,Divorced,Prof-specialty,Unmarried,Female,0,0,40,United-States,1,138
49,Private,340755,Masters,14,Married-civ-spouse,Sales,Husband,Male,0,0,40,United-States,0,139
36,Private,20507,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,7688,0,50,United-States,0,140
66,Private,142501,HS-grad,9,Never-married,Other-service,Other-relative,Female,0,0,3,United-States,1,141
57,Private,136107,9th,5,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,0,142
34,,177304,10th,6,Divorced,,Not-in-family,Male,0,0,40,Columbia,1,143
34,Private,190385,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,United-States,0,144
36,Local-gov,357720,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,Female,0,0,40,United-States,1,145
59,Private,99131,Masters,14,Widowed,Exec-managerial,Not-in-family,Female,0,0,40,United-States,0,146
46,Private,203039,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,48,United-States,1,147
40,Federal-gov,121012,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,7298,0,48,United-States,0,148
73,,84390,Assoc-voc,11,Married-spouse-absent,,Not-in-family,Female,0,0,32,United-States,1,149
23,Private,23037,12th,8,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,United-States,1,150
30,State-gov,361497,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Male,0,0,72,United-States,0,151
57,Private,78707,HS-grad,9,Never-married,Adm-clerical,Own-child,Female,0,0,40,United-States,1,152
56,Private,179641,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Female,0,0,45,United-States,1,153
35,,195946,Some-college,10,Married-civ-spouse,,Husband,Male,0,0,40,Philippines,0,154
42,Private,185057,HS-grad,9,Separated,Adm-clerical,Unmarried,Female,0,0,35,Scotland,1,155
18,Private,169652,11th,7,Never-married,Other-service,Own-child,Female,0,0,12,United-States,1,156
35,Self-emp-not-inc,31095,Some-college,10,Separated,Farming-fishing,Not-in-family,Male,4101,0,60,United-States,1,157
39,Local-gov,316582,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,0,0,55,United-States,1,158
52,Private,75839,Some-college,10,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,United-States,1,159
51,Private,120270,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Male,0,0,40,United-States,0,160
29,Private,82393,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,Germany,1,161
34,Local-gov,105540,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,2051,40,United-States,1,162
23,Private,407684,9th,5,Never-married,Machine-op-inspct,Other-relative,Female,0,0,40,Mexico,1,163
36,Private,173804,Some-college,10,Never-married,Sales,Not-in-family,Female,0,0,35,United-States,1,164
49,Local-gov,337768,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,United-States,0,165
42,Private,147099,HS-grad,9,Divorced,Other-service,Unmarried,Female,0,0,30,United-States,1,166
53,Private,291755,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,1,167
25,Private,338013,Some-college,10,Divorced,Tech-support,Not-in-family,Female,0,0,40,United-States,1,168
48,Self-emp-inc,125892,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,38,United-States,0,169
41,Self-emp-inc,60949,HS-grad,9,Divorced,Craft-repair,Not-in-family,Male,0,0,55,United-States,1,170
38,Private,29702,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,United-States,0,171
22,Private,341227,Some-college,10,Never-married,Adm-clerical,Not-in-family,Male,0,0,20,United-States,1,172
45,Private,255348,Some-college,10,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,United-States,1,173
33,Private,202046,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,Male,0,2001,40,United-States,1,174
40,Private,99373,10th,6,Divorced,Machine-op-inspct,Unmarried,Female,0,0,40,United-States,1,175
24,Private,353696,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,20,Canada,1,176
32,Self-emp-not-inc,210926,11th,7,Separated,Handlers-cleaners,Unmarried,Female,0,0,40,Nicaragua,1,177
39,Private,230054,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,United-States,0,178
34,Private,381153,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,United-States,0,179
20,Private,203240,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Female,0,0,30,United-States,1,180
33,Self-emp-not-inc,167476,11th,7,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,7,United-States,1,181
25,Private,200408,Some-college,10,Never-married,Tech-support,Not-in-family,Male,2174,0,40,United-States,1,182
20,Private,130959,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,20,United-States,1,183
40,Federal-gov,544792,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,United-States,1,184
33,Private,111567,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,1902,45,Germany,0,185
47,Local-gov,51579,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,0,50,United-States,1,186
50,Private,108435,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,99999,0,60,United-States,0,187
64,Private,265661,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,United-States,1,188
43,Private,477983,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,1,189
31,Private,162572,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,16,United-States,1,190
36,Private,150601,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,,1,191
43,Self-emp-not-inc,180599,HS-grad,9,Never-married,Craft-repair,Not-in-family,Male,0,0,35,United-States,1,192
27,Private,178709,Masters,14,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,40,United-States,1,193
29,Private,37933,12th,8,Married-spouse-absent,Other-service,Not-in-family,Female,0,0,40,United-States,1,194
24,Private,161092,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,7298,0,40,United-States,0,195
58,Private,225603,9th,5,Divorced,Farming-fishing,Not-in-family,Male,0,0,40,United-States,1,196
31,Private,87891,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,United-States,1,197
41,Private,277488,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,36,United-States,1,198
40,Private,174515,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,Female,0,0,40,United-States,1,199
28,Private,208965,9th,5,Never-married,Machine-op-inspct,Unmarried,Male,0,0,40,Mexico,1,200
67,Self-emp-inc,182581,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,20051,0,20,United-States,0,201
45,Private,256649,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,United-States,1,202
44,Federal-gov,206553,Assoc-voc,11,Divorced,Tech-support,Not-in-family,Male,0,0,40,United-States,1,203
62,Federal-gov,125155,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,38,United-States,1,204
39,Private,83893,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,United-States,0,205
25,Private,104662,HS-grad,9,Never-married,Other-service,Unmarried,Female,0,0,22,United-States,1,206
21,Private,187643,HS-grad,9,Separated,Other-service,Not-in-family,Female,0,0,40,United-States,1,207
62,,123612,Bachelors,13,Married-civ-spouse,,Husband,Male,0,0,4,United-States,1,208
48,Private,202467,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,1485,40,United-States,0,209
25,Private,295108,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Female,0,0,25,United-States,1,210
50,Private,140516,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,United-States,0,211
32,Private,157747,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,United-States,1,212
50,Private,209464,HS-grad,9,Separated,Other-service,Unmarried,Female,0,0,35,United-States,1,213
26,Private,133756,HS-grad,9,Divorced,Farming-fishing,Not-in-family,Male,0,0,40,Philippines,1,214
51,Local-gov,168539,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,United-States,0,215
49,Self-emp-inc,201498,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,1,216
45,State-gov,127089,Masters,14,Divorced,Exec-managerial,Not-in-family,Male,0,0,45,United-States,1,217
51,Self-emp-not-inc,306784,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,30,United-States,1,218
45,Local-gov,311080,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,United-States,0,219
50,Self-emp-not-inc,146603,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,United-States,0,220
21,,278391,Some-college,10,Never-married,,Own-child,Male,0,0,16,United-States,1,221
32,Private,136480,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,60,United-States,0,222
22,Private,180060,Bachelors,13,Never-married,Exec-managerial,Unmarried,Male,0,0,40,United-States,1,223
17,Self-emp-not-inc,368700,11th,7,Never-married,Farming-fishing,Own-child,Male,0,0,10,United-States,1,224
45,Private,99385,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Female,0,0,40,Canada,1,225
41,Private,69333,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,United-States,0,226
58,Private,103540,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,United-States,1,227
26,Private,124111,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,Female,0,0,36,United-States,1,228
42,Self-emp-not-inc,303044,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,Cambodia,0,229
55,Self-emp-not-inc,157486,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,7298,0,40,United-States,0,230
65,,105017,Bachelors,13,Married-civ-spouse,,Husband,Male,0,0,40,United-States,1,231
70,Self-emp-inc,232871,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,30,United-States,1,232
57,Private,173832,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,1902,40,United-States,0,233
63,,149698,Some-college,10,Married-civ-spouse,,Husband,Male,0,0,15,United-States,1,234
34,Private,77271,HS-grad,9,Never-married,Exec-managerial,Unmarried,Female,0,0,20,England,1,235
55,Private,141727,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Female,3464,0,40,United-States,1,236
47,Private,73064,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,35,United-States,1,237
48,Private,168283,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,45,United-States,0,238
51,Private,101722,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,Male,3908,0,47,United-States,1,239
60,Self-emp-not-inc,52900,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,42,United-States,0,240
52,Private,318975,HS-grad,9,Divorced,Adm-clerical,Unmarried,Female,0,0,40,Cuba,1,241
38,Private,48093,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,1,242
31,Private,148600,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,United-States,1,243
27,Private,132963,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,1,244
54,Local-gov,238257,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,0,0,50,United-States,1,245
51,Private,200576,Some-college,10,Divorced,Adm-clerical,Not-in-family,Female,0,0,63,United-States,1,246
38,Private,40319,Some-college,10,Divorced,Exec-managerial,Not-in-family,Female,0,0,42,United-States,1,247
46,Private,178829,Masters,14,Married-spouse-absent,Exec-managerial,Not-in-family,Male,0,0,70,United-States,0,248
53,Private,102615,11th,7,Divorced,Transport-moving,Not-in-family,Male,0,0,40,Canada,1,249
24,Private,183410,Some-college,10,Never-married,Sales,Own-child,Female,0,0,17,United-States,1,250
47,Self-emp-not-inc,26145,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Male,0,0,40,United-States,0,251
34,Private,34862,Bachelors,13,Divorced,Sales,Not-in-family,Male,0,1564,60,United-States,0,252
41,Private,34278,Assoc-voc,11,Separated,Other-service,Not-in-family,Male,0,0,40,United-States,1,253
43,Private,242488,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,5013,0,40,United-States,1,254
52,Private,256861,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,United-States,1,255
42,Private,169628,Some-college,10,Divorced,Adm-clerical,Not-in-family,Female,0,0,38,United-States,1,256
49,Private,165134,Assoc-voc,11,Never-married,Exec-managerial,Unmarried,Female,0,0,35,Columbia,1,257
19,Private,264593,Some-college,10,Never-married,Sales,Other-relative,Male,0,0,40,United-States,1,258
23,Private,218343,Assoc-acdm,12,Never-married,Sales,Own-child,Female,0,0,40,United-States,1,259
28,Private,189530,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,United-States,0,260
